データ日付,終値
2018/8/13,21857.43
2018/8/14,22356.08
2018/8/15,22204.22
2018/8/16,22192.04
2018/8/17,22270.38
2018/8/20,22199
2018/8/21,22219.73
2018/8/22,22362.55
2018/8/23,22410.82
2018/8/24,22601.77
2018/8/27,22799.64
2018/8/28,22813.47
2018/8/29,22848.22
2018/8/30,22869.5
2018/8/31,22865.15
2018/9/3,22707.38
2018/9/4,22696.9
2018/9/5,22580.83
2018/9/6,22487.94
2018/9/7,22307.06
2018/9/10,22373.09
2018/9/11,22664.69
2018/9/12,22604.61
2018/9/13,22821.32
2018/9/14,23094.67
2018/9/18,23420.54
2018/9/19,23672.52
2018/9/20,23674.93
2018/9/21,23869.93
2018/9/25,23940.26
2018/9/26,24033.79
2018/9/27,23796.74
2018/9/28,24120.04
2018/10/1,24245.76
2018/10/2,24270.62
2018/10/3,24110.96
2018/10/4,23975.62
2018/10/5,23783.72
2018/10/9,23469.39
2018/10/10,23506.04
2018/10/11,22590.86
2018/10/12,22694.66
2018/10/15,22271.3
2018/10/16,22549.24
2018/10/17,22841.12
2018/10/18,22658.16
2018/10/19,22532.08
2018/10/22,22614.82
2018/10/23,22010.78
2018/10/24,22091.18
2018/10/25,21268.73
2018/10/26,21184.6
2018/10/29,21149.8
2018/10/30,21457.29
2018/10/31,21920.46
2018/11/1,21687.65
2018/11/2,22243.66
2018/11/5,21898.99
2018/11/6,22147.75
2018/11/7,22085.8
2018/11/8,22486.92
2018/11/9,22250.25
2018/11/12,22269.88
2018/11/13,21810.52
2018/11/14,21846.48
2018/11/15,21803.62
2018/11/16,21680.34
2018/11/19,21821.16
2018/11/20,21583.12
2018/11/21,21507.54
2018/11/22,21646.55
2018/11/26,21812
2018/11/27,21952.4
2018/11/28,22177.02
2018/11/29,22262.6
2018/11/30,22351.06
2018/12/3,22574.76
2018/12/4,22036.05
2018/12/5,21919.33
2018/12/6,21501.62
2018/12/7,21678.68
2018/12/10,21219.5
2018/12/11,21148.02
2018/12/12,21602.75
2018/12/13,21816.19
2018/12/14,21374.83
2018/12/17,21506.88
2018/12/18,21115.45
2018/12/19,20987.92
2018/12/20,20392.58
2018/12/21,20166.19
2018/12/25,19155.74
2018/12/26,19327.06
2018/12/27,20077.62
2018/12/28,20014.77
2019/1/4,19561.96
2019/1/7,20038.97
2019/1/8,20204.04
2019/1/9,20427.06
2019/1/10,20163.8
2019/1/11,20359.7
2019/1/15,20555.29
2019/1/16,20442.75
2019/1/17,20402.27
2019/1/18,20666.07
2019/1/21,20719.33
2019/1/22,20622.91
2019/1/23,20593.72
2019/1/24,20574.63
2019/1/25,20773.56
2019/1/28,20649
2019/1/29,20664.64
2019/1/30,20556.54
2019/1/31,20773.49
2019/2/1,20788.39
2019/2/4,20883.77
2019/2/5,20844.45
2019/2/6,20874.06
2019/2/7,20751.28
2019/2/8,20333.17
2019/2/12,20864.21
2019/2/13,21144.48
2019/2/14,21139.71
